SAMPLEID,Ag109,Ag110m,Am0,Am241,Am242,Am242m,Am243,C14,Ce140,Ce142,Ce144,Cm0,Cm242,Cm243,Cm244,Cm245,Cm246,Cm247,Cs0,Cs133,Cs134,Cs135,Cs137,Eu0,Eu151,Eu152,Eu153,Eu154,Eu155,Gd0,Gd152,Gd154,Gd155,Gd156,Gd157,Gd158,Gd160,H3,I129,La139,Mo100,Mo95,Mo97,Mo98,Nb95,Nd0,Nd142,Nd143,Nd144,Nd145,Nd146,Nd148,Nd150,Np237,Pd105,Pd108,Pm147,Pr144,Pu0,Pu236,Pu238,Pu239,Pu240,Pu241,Pu242,Pu244,Rh103,Ru101,Ru103,Ru106,Sb125,Se79,Sm0,Sm147,Sm148,Sm149,Sm150,Sm151,Sm152,Sm154,Sn126,Sr90,Tc99,U0,U232,U233,U234,U235,U236,U238,Zr95,RTYPE,EU235,EPU,EPUFISS,EBUP
FDN-1|2F1ZN2|C3|UT,0.04656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.357,0.005635,0,1.244,0,0.001334,0,0.118,0.01282,0.002207,0,5.798e-4,0.01736,0.006615,0.07587,2.291e-4,0.0137,0.001101,0,0,0,0,0.9715,0,0,0,0,0.02997,1.028,1.556,0.8235,0.831,0.438,0.2039,0,0,0,0.01469,0,0,0,0.1795,6.068,2.384,0.6979,0.3782,0,0.5399,0.9298,0,0,0,0,0,0.3301,0.1597,0.003797,0.3161,0.01391,0.1132,0.03852,0,0,0.6859,0,0,0,0.3208,17.05,6.16,967.2,0,BWR,4.9,0,0,38.15
FDN-1|2F1ZN3|A9|UB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1113,0.515,2.899,0.9409,1.398,0.6714,0.3578,0,0,0,0,0,0,0,0.2733,2.907,2.497,0.8642,1.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09136,0.09175,2.672,926.3,0,BWR,2.1,0,0,61.2
FDN-1|2F1ZN3|A9|UM,0.1727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.901,0.03036,0,2.221,0,9.603e-4,0,0.2228,0.02452,0.007216,0,0.001271,0.02866,0.01232,0.5488,5.463e-4,0.07723,0.004422,0,0,0,0,1.309,0,0,0,0,0.1137,0.677,3.178,1.061,1.565,0.7548,0.405,0,0,0,0.01919,0,0,0,0.3959,4.037,3.268,1.014,2.35,0,0.7321,1.614,0,0,0,0,0,0.2805,0.4088,0.002177,0.5123,0.01012,0.1801,0.1032,0,0,0.9436,0,0,0,0.06682,0.2247,2.861,986.1,0,BWR,2.1,0,0,64.18
FDN-1|2F1ZN3|A9|UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08953,0.7341,2.456,0.921,1.245,0.6171,0.3326,0,0,0,0,0,0,0,0.3806,4.066,2.942,1.237,1.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09169,0.6446,2.867,929,0,BWR,2.1,0,0,56.32
FDN-1|2F1ZN3|C2|GdB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06652,0.7356,2.489,0.9544,1.201,0.5996,0.3054,0,0,0,0,0,0,0,0.3329,3.44,2.851,1.011,1.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09195,1.293,4.359,929.5,0,BWR,3,0,0,54.56
FDN-1|2F1ZN3|C2|GdM,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,0.02323,0,1.976,0,0.001279,0,0.1965,0.02413,0.006205,0,0.0060350000000000004,0.6882,0.01501,17.36,0.00383,22.05,11.45,0,0,0,0,1.245,0,0,0,0,0.07384,0.9041,2.53,1.013,1.27,0.6349,0.3271,0,0,0,0.0223,0,0,0,0.3809,4.691,3.568,0.9953,1.498,0,0.694,1.35,0,0,0,0,0,0.332,0.3368,0.002137,0.4708,0.01102,0.1566,0.08335,0,0,0.8938,0,0,0,0.1369,2.266,4.705,982.1,0,BWR,3,0,0,54.45
FDN-1|2F1ZN3|C2|GdT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03986,0.8947,1.878,0.8516,0.9943,0.5091,0.2588,0,0,0,0,0,0,0,0.3805,5.423,3.442,1.426,1.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09254,4.182,4.387,932.5,0,BWR,3,0,0,46.32
FDN-1|2F1ZN3|C3|UB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08928,0.9311,3.302,1.225,1.553,0.7484,0.3618,0,0,0,0,0,0,0,0.4441,3.517,2.937,1.038,1.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1811,2.182,7.122,911.2,0,BWR,4.9,0,0,68.25
FDN-1|2F1ZN3|C3|UM,0.1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.247,0.0298,0,2.46,0,0.001241,0,0.2247,0.02791,0.00728,0,4.801e-4,0.03173,0.01247,0.3619,3.45e-4,0.04737,0.002996,0,0,0,0,1.648,0,0,0,0,0.08824,1.161,3.416,1.322,1.674,0.8096,0.3969,0,0,0,0.02731,0,0,0,0.5694,4.653,3.574,1.122,1.491,0,0.8045,1.717,0,0,0,0,0,0.4047,0.4259,0.002359,0.5706,0.01255,0.1814,0.08418,0,0,1.159,0,0,0,0.2272,3.601,7.739,977.6,0,BWR,4.9,0,0,68.42
FDN-1|2F1ZN3|C3|UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05573,1.161,2.52,1.108,1.304,0.6478,0.3142,0,0,0,0,0,0,0,0.4858,5.208,3.271,1.369,0.9677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1826,6.693,7.089,914.4,0,BWR,4.9,0,0,59.05
