SAMPLEID,Ag109,Ag110m,Am0,Am241,Am242,Am242m,Am243,C14,Ce140,Ce142,Ce144,Cm0,Cm242,Cm243,Cm244,Cm245,Cm246,Cm247,Cs0,Cs133,Cs134,Cs135,Cs137,Eu0,Eu151,Eu152,Eu153,Eu154,Eu155,Gd0,Gd152,Gd154,Gd155,Gd156,Gd157,Gd158,Gd160,H3,I129,La139,Mo100,Mo95,Mo97,Mo98,Nb95,Nd0,Nd142,Nd143,Nd144,Nd145,Nd146,Nd148,Nd150,Np237,Pd105,Pd108,Pm147,Pr144,Pu0,Pu236,Pu238,Pu239,Pu240,Pu241,Pu242,Pu244,Rh103,Ru101,Ru103,Ru106,Sb125,Se79,Sm0,Sm147,Sm148,Sm149,Sm150,Sm151,Sm152,Sm154,Sn126,Sr90,Tc99,U0,U232,U233,U234,U235,U236,U238,Zr95,RTYPE,EU235,EPU,EPUFISS,EBUP
HBR-2|BO-5|N9|B-N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5714,0.88,0.4822,0.4539,0.2613,0.125,0.295,0,0,0,0,7.419,0,0.1214,4.557,1.89,0.5718,0.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536,972.8,0,0,0.1554,8.181,3.103,961.3,0,PWR,2.561,0,0,23.81
HBR-2|BO-5|N9|B-S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4432,0.5761,0.3448,0.3073,0.1745,0.08043,248.3,0,0,0,0,5.865,0,0.03176,4.132,1.241,0.3449,0.1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3604,975.3,0,0,0.1758,12.09,2.487,960.5,0,PWR,2.561,0,0,16.02
HBR-2|BO-5|N9|C-D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6555,1.162,0.5857,0.6001,0.3301,0.1629,0.3778,0,0,0,0,8.701,0,0.1475,4.765,2.404,0.785,0.6001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6691,963.9,0,0,0.1248,5.513,3.402,954.9,0,PWR,2.561,0,0,31.66
HBR-2|BO-5|N9|C-J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6597,1.052,0.5577,0.5579,0.3092,0.152,0.3449,0,0,0,0,8.769,0,0.1293,5.163,2.236,0.7737,0.4685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5929,956.3,0,0,0.1248,5.47,3.376,947.4,0,PWR,2.561,0,0,28.47
HBR-2|BO-5|P8|A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2696,0,0,0,0,0,0,0,0,0.0913,4.7794,1.8768,0.9583,0.3387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1533,7.8535,3.1509,963.44,0,PWR,2.561,0,0,24.57
HBR-2|BO-5|P8|B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3398,0,0,0,0,0,0,0,0,0.1534,4.9866,2.3164,1.2045,0.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333,5.8501,3.3791,958.63,0,PWR,2.561,0,0,30.92
HIN-1|E33-4|1-4|11,0,0,0,0.01795,0,0,0,0,0,0,0,0,2.376e-4,0,2.12e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003879,0.3122,0.3529,0.2378,0.2028,0.1152,0.05169,0,0,0,0,0,0,0,0.01123,2.372,0.8182,0.1853,0.03459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3879,11,1.956,972.7,0,AGR,2.012,0,0,10.264
HIN-1|E33-4|1-4|12,0,0,0,0.01726,0,0,0,0,0,0,0,0,2.071e-4,0,1.46e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003101,0.2972,0.3331,0.2275,0.1948,0.1108,0.0504,0,0,0,0,0,0,0,0.01094,2.388,0.8191,0.187,0.03443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1552,11.06,1.888,973.3,0,AGR,2.012,0,0,9.875
HIN-1|E33-4|19-28|11,0,0,0,0.0299,0,0,0,0,0,0,0,0,4.18e-4,0,3.914e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003991,0.3525,0.4321,0.2785,0.2421,0.1368,0.06183,0,0,0,0,0,0,0,0.01826,2.563,1.06,0.2825,0.0686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2901,9.324,2.341,971.5,0,AGR,2.012,0,0,12.242
HIN-1|E33-4|19-28|12,0,0,0,0.02509,0,0,0,0,0,0,0,0,3.464e-4,0,2.696e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003548,0.3396,0.4118,0.2683,0.2328,0.132,0.05997,0,0,0,0,0,0,0,0.01589,2.525,1.021,0.2711,0.06501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1742,9.455,2.215,972.2,0,AGR,2.012,0,0,11.811
HIN-1|E33-4|7-13|11,0,0,0,0.02158,0,0,0,0,0,0,0,0,2.828e-4,0,2.503e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004097,0.323,0.3768,0.2504,0.2159,0.1225,0.05557,0,0,0,0,0,0,0,0.01234,2.394,0.8875,0.2103,0.04302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3875,10.31,2.052,972.5,0,AGR,2.012,0,0,10.925
HIN-1|E33-4|7-13|12,0,0,0,0.0202,0,0,0,0,0,0,0,0,2.533e-4,0,1.666e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003203,0.3149,0.3639,0.2433,0.2092,0.1186,0.05372,0,0,0,0,0,0,0,0.01243,2.415,0.8891,0.2118,0.04333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1551,10.44,1.984,973,0,AGR,2.012,0,0,10.579
HIN-1|P25-4|1-3-5|12,0,0,0,0.06375,0,0,0,0,0,0,0.01654,0,6.8855e-4,0,0.0086875,0,0,0,0,0,0.02052,0,0.8003,0,0,0,0,0.007365,0.002138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01668,0.4777,0.9193,0.46340000000000003,0.4561,0.24785000000000001,0.11915,0,0,0,0,0,0,1.2625e-7,0.069285,2.3994999999999997,2.1935000000000002,0.50515,0.3281,0,0,0,0,0,0.002029,0,0,0,0,0,0,0,0,0,0,0,0,0,7.657e-7,0,0.1147,3.8289999999999997,2.6550000000000002,965.2,0,AGR,2.012,0,0,22.217
HIN-1|P25-4|19-25-31|12,0,0,0,0.080775,0,0,0,0,0,0,0.01707,0,9.861499999999999e-4,0,0.01794,0,0,0,0,0,0.02746,0,0.867,0,0,0,0,0.008954,0.004059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022215,0.49915,1.126,0.5287999999999999,0.5415,0.2902,0.1416,0,0,0,0,0,0,1.2375e-7,0.092475,2.428,2.311,0.6253,0.53635,0,0,0,0,0,0.002219,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1255e-7,0,0.10935,2.5745,2.8255,961.9,0,AGR,2.012,0,0,26.012
HIN-1|P25-4|7-11-15|12,0,0,0,0.06899,0,0,0,0,0,0,0.01652,0,8.02e-4,0,0.01148,0,0,0,0,0,0.02252,0,0.8083,0,0,0,0,0.007995,0.003415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018349999999999998,0.4865,0.9930999999999999,0.4866,0.4859,0.262,0.12635000000000002,0,0,0,0,0,0,1.4805e-7,0.078345,2.3865,2.2395,0.54285,0.39095,0,0,0,0,0,0.001915,0,0,0,0,0,0,0,0,0,0,0,0,0,7.948e-7,0,0.1145,3.3105,2.815,964.0999999999999,0,AGR,2.012,0,0,23.258
HIN-1|S13-4|2-4-6|11,0,0,0,0.03711,0,0,0,0,0,0,0.005366,0,9.279e-4,0,0.003028,0,0,0,0,0,0.00854,0,0.5997,0,0,0,0,0.004551,0.001841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009254,0.4566,0.677,0.394,0.3644,0.2012,0.09343,0,0,0,0,0,0,1.0594999999999999e-7,0.04074,2.55,1.709,0.4131,0.1702,0,0,0,0,0,0.001149,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8585e-6,0,0.1441,6.829,2.586,967.1,0,AGR,2.17,0,0,17.954
HIN-1|S13-4|2-4-6|12,0,0,0,0.04709,0,0,0,0,0,0,0,0,5.666e-4,0,0.002667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008347,0.4513,0.685,0.3886,0.3589,0.1983,0.09225,0,0,0,0,0,0,0,0.0399,2.572,1.714,0.4035,0.1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1441,6.84,2.587,967.4,0,AGR,2.17,0,0,17.698
HIN-1|S13-4|22-28-34|11,0,0,0,0.0571,0,0,0,0,0,0,0.005925,0,0.00144,0,0.006566,0,0,0,0,0,0.01227,0,0.706,0,0,0,0,0.005821,0.002383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01393,0.4944,0.8388,0.4558,0.4339,0.2374,0.1111,0,0,0,0,0,0,1.1005000000000001e-7,0.05463,2.604,1.932,0.5548,0.3025,0,0,0,0,0,0.001386,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7465000000000002e-5,0,0.1339,5.082,2.817,964.8,0,AGR,2.17,0,0,21.254
HIN-1|S13-4|22-28-34|12,0,0,0,0.06258,0,0,0,0,0,0,0,0,8.857e-4,0,0.005217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122,0.4822,0.8354,0.4442,0.423,0.2316,0.1088,0,0,0,0,0,0,0,0.05591,2.628,1.939,0.5425,0.3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134,5.094,2.809,965.3,0,AGR,2.17,0,0,20.748
HIN-1|S13-4|8-12-16|11,0,0,0,0.04252,0,0,0,0,0,0,0.005573,0,0.001092,0,0.003989,0,0,0,0,0,0.009808,0,0.6292,0,0,0,0,0.004932,0.002091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108,0.4736,0.7377,0.4179,0.3903,0.2146,0.09975,0,0,0,0,0,0,1.1445e-7,0.04415,2.55,1.792,0.4567,0.2087,0,0,0,0,0,0.001273,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7345e-6,0,0.1439,6.145,2.689,966.3,0,AGR,2.17,0,0,19.165
HIN-1|S13-4|8-12-16|12,0,0,0,0.05085,0,0,0,0,0,0,0,0,6.54e-4,0,0.003348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01101,0.4578,0.7288,0.4032,0.3764,0.2069,0.09632,0,0,0,0,0,0,0,0.04429,2.512,1.757,0.4381,0.2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144,6.102,2.681,967.2,0,AGR,2.17,0,0,18.488
HIN-1|W25-4|1-3-5|12,0,0,0,0.044645000000000004,0,0,0,0,0,0,0.02682,0,2.0445e-4,0,0.0021715,0,0,0,0,0,0.01578,0,0.6441,0,0,0,0,0.005347,0.002432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.209e-5,0,0.0080015,0.49615,0.72695,0.41564999999999996,0.3802,0.20915,0.09759999999999999,0,0,0,0,0,0,0,0.050375,2.7439999999999998,1.617,0.39015,0.1449,0,0,0,0,0,0.001693,0,0,0,0,0,0,0,0,0,0,0,0,0,9.798e-7,0,0.1823,9.1985,3.697,962.8499999999999,0,AGR,2.55,0,0,18.731
HIN-1|W25-4|19-25-31|12,0,0,0,0.06193,0,0,0,0,0,0,0.02984,0,3.327e-4,0,0.005178,0,0,0,0,0,0.02322,0,0.7711,0,0,0,0,0.00698,0.003161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.384e-5,0,0.01137,0.54775,0.9169,0.48955,0.4622,0.25129999999999997,0.11875,0,0,0,0,0,0,5.215e-7,0.06831999999999999,2.793,1.875,0.53835,0.27335,0,0,0,0,0,0.002397,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2015e-7,0,0.21015,6.8975,3.8825000000000003,960.4,0,AGR,2.55,0,0,22.622
HIN-1|W25-4|7-11-15|12,0,0,0,0.052145,0,0,0,0,0,0,0.02794,0,2.4219999999999998e-4,0,0.003051,0,0,0,0,0,0.01809,0,0.6848,0,0,0,0,0.005884,0.00275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.284e-5,0,0.008719000000000001,0.5119,0.7858499999999999,0.43765,0.40375,0.2208,0.10314999999999999,0,0,0,0,0,0,0,0.052605,2.7245,1.705,0.4304,0.1782,0,0,0,0,0,0.002038,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4835e-7,0,0.1773,8.3305,3.5815,962.6,0,AGR,2.55,0,0,19.607
HIN-1|W27-4|1-3-5|19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001583,0.2454,0.2406,0.1824,0.1532,0.08735,0.03945,0,0,0,0,0,0,0,0.008833,2.272,0.6205,0.1416,0.01982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1556,12.46,1.618,974.7,0,AGR,2.012,0,0,7.785
HIN-1|W27-4|19-25-31|19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001268,0.2926,0.3137,0.2229,0.1894,0.1076,0.04822,0,0,0,0,0,0,0,0.01062,2.47,0.8223,0.2172,0.03958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1746,10.87,2.035,973.5,0,AGR,2.012,0,0,9.63
HIN-1|W27-4|7-11-15|19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001425,0.264,0.2708,0.1979,0.1667,0.09493,0.04235,0,0,0,0,0,0,0,0.008281,2.323,0.6844,0.1616,0.02494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1749,11.89,1.803,974.3,0,AGR,2.012,0,0,8.466
HIN-2|E13-5|29|13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02875,2.389,1.263,0.2981,0.09717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289,9.771,3.595,966,0,AGR,2.5,0,0,16.002
HIN-2|E13-5|29|14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297,2.473,1.302,0.3067,0.09825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2888,9.765,3.592,965.3,0,AGR,2.5,0,0,16.517
HIN-2|E13-5|29|33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02702,2.502,1.261,0.3005,0.09214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1927,10.25,2.817,966.4,0,AGR,2.5,0,0,15.916
HIN-2|E13-5|29|34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02746,2.548,1.28,0.3032,0.09191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2906,10.31,2.833,965.9,0,AGR,2.5,0,0,16.089
HIN-2|N41-4|1-3-5|11,0,0,0,0.041,0,0,0,0,0,0,0,0,9.198e-4,0,0.002192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008437,0.4242,0.6147,0.3586,0.3288,0.182,0.08519,0,0,0,0,0,0,1.7825e-7,0.04403,2.621,1.581,0.3792,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.796e-7,0,0.1443,6.861,2.562,969,0,AGR,2.012,0,0,16.267
HIN-2|N41-4|1-3-5|12,0,0,0,0.05112,0,0,0,0,0,0,0,0,4.455e-4,0,0.001958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007121,0.4148,0.6086,0.3502,0.3204,0.1775,0.08336,0,0,0,0,0,0,0,0.03899,2.501,1.49,0.3503,0.1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1444,7.03,2.603,969.4,0,AGR,2.012,0,0,15.865
HIN-2|N41-4|19-25-31|11,0,0,0,0.08142,0,0,0,0,0,0,0,0,0.001463,0,0.005041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01169,0.4638,0.771,0.4201,0.3973,0.2183,0.1035,0,0,0,0,0,0,2.0455000000000002e-7,0.06353,2.653,1.825,0.5248,0.2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8214999999999998e-6,0,0.1438,5.072,2.668,966.7,0,AGR,2.012,0,0,19.591
HIN-2|N41-4|19-25-31|12,0,0,0,0.06999,0,0,0,0,0,0,0,0,7.146e-4,0,0.00464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01083,0.4651,0.7813,0.4207,0.3984,0.2193,0.1039,0,0,0,0,0,0,0,0.05463,2.538,1.725,0.4847,0.2451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1438,4.958,2.581,967.2,0,AGR,2.012,0,0,19.677
HIN-2|N41-4|7-11-15|11,0,0,0,0.05629,0,0,0,0,0,0,0,0,0.001036,0,0.003098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009159,0.437,0.6647,0.3783,0.3503,0.1935,0.09081,0,0,0,0,0,0,1.939e-7,0.05078,2.603,1.668,0.4198,0.1743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.103e-7,0,0.1442,6.196,2.646,968.4,0,AGR,2.012,0,0,17.312
HIN-2|N41-4|7-11-15|12,0,0,0,0.05973,0,0,0,0,0,0,0,0,5.221e-4,0,0.002737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008087,0.4327,0.6663,0.3752,0.3479,0.193,0.09155,0,0,0,0,0,0,0,0.04449,2.493,1.578,0.3891,0.1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1346,5.947,2.501,969.1,0,AGR,2.012,0,0,17.26
HIN-2|Q11-3|19-25-31|41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001974,0.2211,0.2327,0.1643,0.1416,0.07874,0.03528,0,0,0,0,0,0,0,0.005801,2.192,0.6619,0.1547,0.02433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1557,9.022,1.482,979.1,0,AGR,1.542,0,0,7.035
HIN-2|Q11-3|19-25-31|42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001459,0.2208,0.2291,0.1666,0.1402,0.08076,0.03644,0,0,0,0,0,0,0,0.005703,2.175,0.6604,0.1532,0.02411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,9.01,1.472,979,0,AGR,1.542,0,0,7.214
HIN-2|Q11-3|19-25-31|64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002166,0.2649,0.259,0.1909,0.1591,0.08792,0.03983,0,0,0,0,0,0,0,0.007279,2.247,0.7847,0.1936,0.03618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1556,8.25,1.598,978.7,0,AGR,1.542,0,0,7.851
HIN-2|Q11-3|2-4-6|41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001685,0.2061,0.2016,0.1485,0.1238,0.06841,0.03099,0,0,0,0,0,0,0,0.00462,2.047,0.5157,0.104,0.01344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1559,10.01,1.327,979.6,0,AGR,1.542,0,0,6.086
HIN-2|Q11-3|2-4-6|42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001497,0.1881,0.1862,0.139,0.116,0.06658,0.0299,0,0,0,0,0,0,0,0.004378,1.972,0.4992,0.1014,0.01283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1462,9.995,1.327,979.9,0,AGR,1.542,0,0,5.923
HIN-2|Q11-3|2-4-6|64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001791,0.2212,0.23,0.1649,0.1381,0.07877,0.03523,0,0,0,0,0,0,0,0.007917,2.161,0.6687,0.1537,0.02461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1557,9.002,1.492,979.1,0,AGR,1.542,0,0,7.002
HIN-2|Q11-3|7-11-15|41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001798,0.1983,0.1965,0.1457,0.1214,0.06942,0.03086,0,0,0,0,0,0,0,0.004633,2.013,0.5441,0.1148,0.01574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1559,9.649,1.386,979.8,0,AGR,1.542,0,0,6.182
HIN-2|Q11-3|7-11-15|42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.762e-4,0.1969,0.1969,0.1465,0.1225,0.07052,0.03165,0,0,0,0,0,0,0,0.004841,2.019,0.5492,0.1155,0.01586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1364,9.638,1.366,979.7,0,AGR,1.542,0,0,6.28
HIN-2|Q11-3|7-11-15|64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002123,0.2286,0.238,0.1711,0.1432,0.08223,0.03681,0,0,0,0,0,0,0,0.006096,2.171,0.7078,0.1677,0.02844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1557,8.676,1.521,979.1,0,AGR,1.542,0,0,7.317
HIN-2|S21-4|1-3-5|11,0,0,0,0.05681,0,0,0,0,0,0,0.01004,0,7.285e-4,0,0.0043985,0,0,0,0,0,0.01267,0,0.6392,0,0,0,0,0.005417,0.002325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011130000000000001,0.45525,0.7586999999999999,0.41100000000000003,0.39015,0.21405000000000002,0.10155,0,0,0,0,0,0,1.1855e-7,0.049385,2.5175,1.894,0.4457,0.22085,0,0,0,0,0,0.001434,0,0,0,0,0,0,0,0,0,0,0,0,0,6.277999999999999e-7,0,0.1247,5.21,2.5244999999999997,967.4,0,AGR,2.012,0,0,19.061
HIN-2|S21-4|19-25-31|11,0,0,0,0.07031,0,0,0,0,0,0,0.01089,0,0.001103,0,0.009163000000000001,0,0,0,0,0,0.0175,0,0.724,0,0,0,0,0.006843,0.00269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015065,0.48495,0.9338,0.4736,0.4639,0.2525,0.12234999999999999,0,0,0,0,0,0,1.3765000000000002e-7,0.06701,2.565,2.0825,0.579,0.3785,0,0,0,0,0,0.001758,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1885e-7,0,0.1146,3.7445,2.6775,964.65,0,AGR,2.012,0,0,22.446
HIN-2|S21-4|7-11-15|11,0,0,0,0.059609999999999996,0,0,0,0,0,0,0.01064,0,8.425500000000001e-4,0,0.0055130000000000005,0,0,0,0,0,0.01446,0,0.6811,0,0,0,0,0.005866,0.002675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011625,0.46585,0.8164,0.43120000000000003,0.41385,0.22594999999999998,0.10735,0,0,0,0,0,0,1.389e-7,0.054615,2.5025,1.9615,0.48214999999999997,0.26355,0,0,0,0,0,0.001557,0,0,0,0,0,0,0,0,0,0,0,0,0,5.284e-7,0,0.1245,4.6455,2.598,966.6500000000001,0,AGR,2.012,0,0,20.106
